id_recibo,producto_id,pedido_id,cantidad,valor_unitario,valor_total,ciudad,costo_envio,ciudad_nombre,vendedor_id,fecha_compra,total,producto,precio,marca,sku,condicion,tipo_producto,nombre_vendedor,año_compra,mes_compra
11,45695,3722,5,240,1200,BR-AM,240.0,Amazonas,2,2019-01-06,1200,Blusa Malha Paete,240,Le Lis Blanc,522405.0,Usado,Blusa,Daniel Siqueira,2019,1
12,59337,3870,5,390,1950,BR-CE,390.0,Ceará,3,2019-01-07,1950,Blusa Tricot Mescla,390,Levi'S,295977.0,Usado,Blusa,Nadia Oliveira,2019,1
13,79079,4004,4,320,1280,BR-RS,256.0,Rio Grande do Sul,5,2019-01-08,1280,Regata Nude Textura,320,Gregory,247347.0,Usado,Regata,Paulo Calanca,2019,1
14,27336,4471,2,250,500,BR-AC,100.0,Acre,2,2019-01-09,500,Calca Preta Resinada,250,Ellus,122068.0,Usado,Calca,Daniel Siqueira,2019,1
15,60010,5347,1,90,90,BR-RO,18.0,Rondônia,1,2019-01-10,90,Vestido Estampa Azul,90,Forever 21,272238.0,Nuevo Con Etiqueta,Vestido,Ana Duarte,2019,1
16,56571,6129,5,420,2100,BR-DF,420.0,Distrito Federal,1,2019-01-10,2100,Vestido Seda Floral,420,Animale,178553.0,Usado,Vestido,Ana Duarte,2019,1
17,3820,6355,4,139,556,BR-BA,111.2,Bahia,5,2019-01-11,556,Shorts Jeans Tye Dye,139,Lezalez,252560.0,Usado,Shorts,Paulo Calanca,2019,1
18,40508,7562,2,245,490,BR-MT,98.0,Mato Grosso,1,2019-01-12,490,Regata Bicolor Alcinha,245,Express,247166.0,Usado,Regata,Ana Duarte,2019,1
19,57708,8077,4,990,3960,BR-CE,792.0,Ceará,3,2019-01-12,3960,Sapatilha Python Bege,990,Tory Burch,278531.0,Usado,Sapatilha,Nadia Oliveira,2019,1
20,17329,9626,6,590,3540,BR-CE,708.0,Ceará,4,2019-01-13,3540,Blusa Renda Pb,590,Isolda,525179.0,Usado,Blusa,Millena Pereira,2019,1
21,43888,10557,1,190,190,BR-DF,38.0,Distrito Federal,4,2019-01-13,190,Regata Renda Branca,190,Farm,257576.0,Usado,Regata,Millena Pereira,2019,1
22,12609,10809,5,320,1600,BR-BA,320.0,Bahia,1,2019-01-14,1600,Calca Jeans Lavagem,320,Armani Exchange,278260.0,Usado,Calca,Ana Duarte,2019,1
23,62594,11320,1,300,300,BR-RR,60.0,Roraima,2,2019-01-14,300,Blusa Pontas Blue,300,Dkny,163810.0,Usado,Blusa,Daniel Siqueira,2019,1
24,100481,12119,1,410,410,BR-CE,82.0,Ceará,2,2019-01-14,410,Bomber Tricot Off,410,Sacada,208772.0,Usado,Bomber,Daniel Siqueira,2019,1
25,6888,12392,3,350,1050,BR-PE,210.0,Pernambuco,3,2019-01-14,1050,Sapato Python,350,Cori,952821.0,Usado,Sapato,Nadia Oliveira,2019,1
26,70813,13009,5,120,600,BR-PR,120.0,Paraná,5,2019-01-15,600,Saia Costura Preta,120,Erre Erre,167089.0,Usado,Saia,Paulo Calanca,2019,1
27,14420,13550,2,690,1380,BR-MA,276.0,Maranhão,1,2019-01-15,1380,Vestido Rose Drapeado,690,Vera Wang,295452.0,Nuevo Sin Etiqueta,Vestido,Ana Duarte,2019,1
28,31651,13792,3,180,540,BR-PE,108.0,Pernambuco,2,2019-01-15,540,Blusa Roxa Babadinhos,180,Zara,295222.0,Usado,Blusa,Daniel Siqueira,2019,1
29,75706,15194,5,100,500,BR-RS,100.0,Rio Grande do Sul,5,2019-01-16,500,Shorts Poa Pb,100,Forever 21,258661.0,Usado,Shorts,Paulo Calanca,2019,1
30,31835,15954,2,399,798,BR-DF,159.6,Distrito Federal,2,2019-01-16,798,Camisa Seda Pb,399,Mixed,258114.0,Usado,Camisa,Daniel Siqueira,2019,1
31,17258,16179,6,420,2520,BR-PA,504.0,Pará,5,2019-01-16,2520,Saia Transparente Cover,420,Luisa Farani,257900.0,Usado,Saia,Paulo Calanca,2019,1
32,77558,16504,5,790,3950,BR-AM,790.0,Amazonas,2,2019-01-17,3950,Bota Veludo Azul,790,A.Brand,142974.0,Nuevo Sin Etiqueta,Bota,Daniel Siqueira,2019,1
33,41189,16637,5,160,800,BR-MS,160.0,Mato Grosso do Sul,3,2019-01-17,800,Calca Acetinada Preta,160,Zara,176893.0,Usado,Calca,Nadia Oliveira,2019,1
34,31651,16781,4,180,720,BR-MS,144.0,Mato Grosso do Sul,2,2019-01-17,720,Blusa Roxa Babadinhos,180,Zara,295222.0,Usado,Blusa,Daniel Siqueira,2019,1
35,4553,16923,2,110,220,BR-BA,44.0,Bahia,5,2019-01-17,220,Blusa Preta Aplicacao,110,Zara,232886.0,Usado,Blusa,Paulo Calanca,2019,1
36,53458,17133,6,450,2700,BR-PR,540.0,Paraná,5,2019-01-17,2700,Vestido Renda Branco,450,Le Lis Blanc,239416.0,Usado,Vestido,Paulo Calanca,2019,1
37,89334,18674,3,350,1050,BR-MG,210.0,Minas Gerais,2,2019-01-17,1050,Pantacourt Amarracao Verde,350,Ateliê De Calças,220768.0,Nuevo Con Etiqueta,Pantacourt,Daniel Siqueira,2019,1
38,75706,18823,6,100,600,BR-PR,120.0,Paraná,4,2019-01-17,600,Shorts Poa Pb,100,Forever 21,258661.0,Usado,Shorts,Millena Pereira,2019,1
39,57696,19040,6,410,2460,BR-PE,492.0,Pernambuco,1,2019-01-17,2460,Vestido Estampa Verde,410,Farm,295337.0,Usado,Vestido,Ana Duarte,2019,1
40,27546,19990,5,336,1680,BR-MS,336.0,Mato Grosso do Sul,5,2019-01-18,1680,Calca Veludo Cotele,336,Joe'S,236203.0,Usado,Calca,Paulo Calanca,2019,1
41,49497,21708,5,320,1600,BR-SC,320.0,Santa Catarina,5,2019-01-18,1600,Regata Alcinha Paete,320,Morena Rosa,256324.0,Nuevo Con Etiqueta,Regata,Paulo Calanca,2019,1
42,14420,21847,2,690,1380,BR-GO,276.0,Goiás,2,2019-01-18,1380,Vestido Rose Drapeado,690,Vera Wang,295452.0,Nuevo Sin Etiqueta,Vestido,Daniel Siqueira,2019,1
43,4553,21923,2,110,220,BR-SP,44.0,São Paulo,5,2019-01-18,220,Blusa Preta Aplicacao,110,Zara,232886.0,Usado,Blusa,Paulo Calanca,2019,1
44,6137,23640,5,100,500,BR-MT,100.0,Mato Grosso,2,2019-01-19,500,Camisa Tear Folk,100,Mixed,114671.0,Nuevo Con Etiqueta,Camisa,Daniel Siqueira,2019,1
45,51238,23788,6,410,2460,BR-PR,492.0,Paraná,2,2019-01-19,2460,Mala Bolsos Preta,410,Gap,286008.0,Usado,Mala,Daniel Siqueira,2019,1
46,98640,23813,2,990,1980,BR-SE,396.0,Sergipe,2,2019-01-19,1980,Calca Jeans Costuras,990,Diesel,312258.0,Usado,Calca,Daniel Siqueira,2019,1
47,86845,24839,6,110,660,BR-SC,132.0,Santa Catarina,2,2019-01-19,660,Bermuda Listras Bolsos,110,Toca Do Coelho,256800.0,Usado,Bermuda,Daniel Siqueira,2019,1
48,83795,24977,1,310,310,BR-TO,62.0,Tocantins,1,2019-01-20,310,Vestido Estampa Color,310,Cantão,309928.0,Usado,Vestido,Ana Duarte,2019,1
49,14836,25911,1,1100,1100,BR-PA,220.0,Pará,2,2019-01-20,1100,Sandalia Lona Cortica,1100,Tory Burch,290573.0,Usado,Sandalia,Daniel Siqueira,2019,1
50,27546,26372,6,336,2016,BR-MG,403.2,Minas Gerais,2,2019-01-20,2016,Calca Veludo Cotele,336,Joe'S,236203.0,Usado,Calca,Daniel Siqueira,2019,1
51,27546,27529,5,336,1680,BR-AP,336.0,Amapá,4,2019-01-20,1680,Calca Veludo Cotele,336,Joe'S,236203.0,Usado,Calca,Millena Pereira,2019,1
52,5995,27554,3,398,1194,BR-PR,238.8,Paraná,1,2019-01-20,1194,Calca Linho Ten,398,Mixed,216052.0,Nuevo Con Etiqueta,Calca,Ana Duarte,2019,1
53,22407,28549,1,200,200,BR-MA,40.0,Maranhão,3,2019-01-20,200,Cropped Listras Florzinhas,200,Topshop,327426.0,Usado,Cropped,Nadia Oliveira,2019,1
54,83009,28987,2,280,560,BR-RJ,112.0,Rio de Janeiro,4,2019-01-21,560,Body Babado Pb,280,Karmani,263899.0,Usado,Body,Millena Pereira,2019,1
55,74864,31305,5,130,650,BR-PA,130.0,Pará,5,2019-01-22,650,Vestido Jeans Babados,130,Zara,219248.0,Usado,Vestido,Paulo Calanca,2019,1
56,61356,31814,6,390,2340,BR-AM,468.0,Amazonas,2,2019-01-22,2340,Vestido Preto Estampa,390,Maria Filó,303328.0,Usado,Vestido,Daniel Siqueira,2019,1
57,93262,32635,6,450,2700,BR-BA,540.0,Bahia,2,2019-01-22,2700,Sandalia Prata Pedraria,450,Thay Ribas,233379.0,Usado,Sandalia,Daniel Siqueira,2019,1
58,75706,32705,3,100,300,BR-PI,60.0,Piauí,5,2019-01-22,300,Shorts Poa Pb,100,Forever 21,258661.0,Usado,Shorts,Paulo Calanca,2019,1
59,17990,33370,6,3800,22800,BR-SE,4560.0,Sergipe,4,2019-01-23,22800,Saia Couro Tijolo,3800,Mixed,255109.0,Usado,Saia,Millena Pereira,2019,1
60,21244,34970,4,1120,4480,BR-MT,896.0,Mato Grosso,3,2019-01-23,4480,Oculos Lente Azulada,1120,D&G Dolce & Gabbana,209297.0,Usado,Oculos,Nadia Oliveira,2019,1
61,86544,35238,6,50,300,BR-RO,60.0,Rondônia,1,2019-01-23,300,Macaquinho Tricot Bege,50,Bazar Genial,259479.0,Usado,Macaquinho,Ana Duarte,2019,1
62,61356,35535,4,390,1560,BR-RO,312.0,Rondônia,2,2019-01-23,1560,Vestido Preto Estampa,390,Maria Filó,303328.0,Usado,Vestido,Daniel Siqueira,2019,1
63,18128,36109,3,795,2385,BR-CE,477.0,Ceará,3,2019-01-23,2385,Blusinha Tropical Azul,795,Reinaldo Lourenço,278292.0,Nuevo Con Etiqueta,Blusinha,Nadia Oliveira,2019,1
64,13906,36267,6,340,2040,BR-AP,408.0,Amapá,2,2019-01-24,2040,Blazer Alfaiataria Grafite,340,Forum,316222.0,Usado,Blazer,Daniel Siqueira,2019,1
65,13906,36626,2,340,680,BR-PB,136.0,Paraíba,2,2019-01-24,680,Blazer Alfaiataria Grafite,340,Forum,316222.0,Usado,Blazer,Daniel Siqueira,2019,1
66,57696,37202,5,410,2050,BR-SC,410.0,Santa Catarina,5,2019-01-24,2050,Vestido Estampa Verde,410,Farm,295337.0,Usado,Vestido,Paulo Calanca,2019,1
67,7193,37450,3,320,960,BR-PE,192.0,Pernambuco,5,2019-01-24,960,Saia Preta Babado,320,Mixed,185450.0,Usado,Saia,Paulo Calanca,2019,1
68,17329,39103,3,590,1770,BR-MS,354.0,Mato Grosso do Sul,4,2019-01-24,1770,Blusa Renda Pb,590,Isolda,525179.0,Usado,Blusa,Millena Pereira,2019,1
69,45979,39279,1,280,280,BR-CE,56.0,Ceará,3,2019-01-25,280,Vestido Longo Estampa,280,Farm,285174.0,Usado,Vestido,Nadia Oliveira,2019,1
70,71770,39502,2,530,1060,BR-CE,212.0,Ceará,1,2019-01-25,1060,Saia Pregas Azul,530,Carina Duek,303363.0,Nuevo Con Etiqueta,Saia,Ana Duarte,2019,1
71,61356,39834,1,390,390,BR-SP,78.0,São Paulo,5,2019-01-25,390,Vestido Preto Estampa,390,Maria Filó,303328.0,Usado,Vestido,Paulo Calanca,2019,1
72,4835,40610,4,560,2240,BR-PA,448.0,Pará,1,2019-01-25,2240,Blazer Cinza E Azul Marinho,560,Levi'S,105695.0,Usado,Blazer,Ana Duarte,2019,1
73,74864,42139,5,130,650,BR-GO,130.0,Goiás,2,2019-01-25,650,Vestido Jeans Babados,130,Zara,219248.0,Usado,Vestido,Daniel Siqueira,2019,1
74,12895,42363,6,2600,15600,BR-PR,3120.0,Paraná,2,2019-01-25,15600,Oculos Redondo Purple,2600,Prada,237288.0,Usado,Oculos,Daniel Siqueira,2019,1
75,19432,42734,2,190,380,BR-AM,76.0,Amazonas,2,2019-01-25,380,Camisa Jeans Destroyed,190,Zara,255486.0,Usado,Camisa,Daniel Siqueira,2019,1
76,37384,42852,3,700,2100,BR-MA,420.0,Maranhão,2,2019-01-25,2100,Jaqueta Veludo Bordada,700,Animale,141732.0,Usado,Jaqueta,Daniel Siqueira,2019,1
77,80644,42990,4,990,3960,BR-CE,792.0,Ceará,5,2019-01-25,3960,Bolsa Azul Candy,990,Lauren Ralph Lauren,289991.0,Usado,Bolsa,Paulo Calanca,2019,1
78,5995,43127,6,398,2388,BR-AC,477.6,Acre,1,2019-01-25,2388,Calca Linho Ten,398,Mixed,216052.0,Nuevo Con Etiqueta,Calca,Ana Duarte,2019,1
79,51238,43308,6,410,2460,BR-BA,492.0,Bahia,2,2019-01-25,2460,Mala Bolsos Preta,410,Gap,286008.0,Usado,Mala,Daniel Siqueira,2019,1
80,33976,45501,4,120,480,BR-RS,96.0,Rio Grande do Sul,5,2019-01-25,480,Camisa Xadrez Azul,120,Hollister,211116.0,Usado,Camisa,Paulo Calanca,2019,1
81,29510,45768,1,360,360,BR-PA,72.0,Pará,4,2019-01-25,360,Jaqueta Jeans,360,Maria Bonita,920756.0,Usado,Jaqueta,Millena Pereira,2019,1
82,8707,45940,1,150,150,BR-MS,30.0,Mato Grosso do Sul,2,2019-01-26,150,Regata Nadador Lilas,150,Animale,247619.0,Usado,Regata,Daniel Siqueira,2019,1
83,8673,46083,6,490,2940,BR-SP,588.0,São Paulo,4,2019-01-26,2940,Clutch Preta Brilho,490,Marc By Marcjacobs,222028.0,Usado,Clutch,Millena Pereira,2019,1
84,75706,46133,6,100,600,BR-PA,120.0,Pará,2,2019-01-26,600,Shorts Poa Pb,100,Forever 21,258661.0,Usado,Shorts,Daniel Siqueira,2019,1
85,13814,46161,4,550,2200,BR-MS,440.0,Mato Grosso do Sul,5,2019-01-26,2200,Vestido Nude Reta,550,Ellus,318626.0,Nuevo Sin Etiqueta,Vestido,Paulo Calanca,2019,1
86,12895,47817,3,2600,7800,BR-MG,1560.0,Minas Gerais,4,2019-01-26,7800,Oculos Redondo Purple,2600,Prada,237288.0,Usado,Oculos,Millena Pereira,2019,1
87,53941,48064,6,280,1680,BR-MG,336.0,Minas Gerais,4,2019-01-26,1680,Cropped Escritas Pb,280,Linda De Morrer,917972.0,Usado,Cropped,Millena Pereira,2019,1
88,65473,48191,3,210,630,BR-MA,126.0,Maranhão,4,2019-01-26,630,Oculos Acetato Branco,210,Mango,944049.0,Usado,Oculos,Millena Pereira,2019,1
89,89334,48306,1,350,350,BR-AC,70.0,Acre,1,2019-01-26,350,Pantacourt Amarracao Verde,350,Ateliê De Calças,220768.0,Nuevo Con Etiqueta,Pantacourt,Ana Duarte,2019,1
90,28699,48400,5,420,2100,BR-DF,420.0,Distrito Federal,2,2019-01-26,2100,Calca Verde Bolsos,420,Brooksfield,947048.0,Usado,Calca,Daniel Siqueira,2019,1
91,8673,48442,5,490,2450,BR-SC,490.0,Santa Catarina,5,2019-01-26,2450,Clutch Preta Brilho,490,Marc By Marcjacobs,222028.0,Usado,Clutch,Paulo Calanca,2019,1
92,44424,49448,4,360,1440,BR-BA,288.0,Bahia,1,2019-01-26,1440,Calca Jeans Costuras,360,Seven,241025.0,Usado,Calca,Ana Duarte,2019,1
93,18212,49523,2,120,240,BR-ES,48.0,Espírito Santo,2,2019-01-26,240,Blusa Laranja Golinha,120,Zara,322472.0,Usado,Blusa,Daniel Siqueira,2019,1
94,54794,51015,4,350,1400,BR-BA,280.0,Bahia,3,2019-01-26,1400,Bermuda Jeans Lavagem,350,Seven,295449.0,Usado,Bermuda,Nadia Oliveira,2019,1
95,67445,51499,6,320,1920,BR-PR,384.0,Paraná,4,2019-01-26,1920,Blusa Verde Manga,320,Shoulder,295249.0,Usado,Blusa,Millena Pereira,2019,1
96,44379,51696,3,165,495,BR-PR,99.0,Paraná,1,2019-01-26,495,Calca Textura Vermelha,165,Zara,213039.0,Usado,Calca,Ana Duarte,2019,1
97,11736,54138,6,740,4440,BR-AL,888.0,Alagoas,5,2019-01-26,4440,Saia Guipir Nude,740,Mixed,324428.0,Usado,Saia,Paulo Calanca,2019,1
98,8707,54407,5,150,750,BR-PB,150.0,Paraíba,2,2019-01-27,750,Regata Nadador Lilas,150,Animale,247619.0,Usado,Regata,Daniel Siqueira,2019,1
99,41262,54781,2,390,780,BR-RJ,156.0,Rio de Janeiro,5,2019-01-27,780,Calca Estampa Flare,390,Canal,304225.0,Usado,Calca,Paulo Calanca,2019,1
100,72621,54993,2,179,358,BR-PE,71.6,Pernambuco,4,2019-01-27,358,Capa Fio Marrom,179,Zara,304783.0,Usado,Capa,Millena Pereira,2019,1
101,60010,55140,1,90,90,BR-RJ,18.0,Rio de Janeiro,2,2019-01-27,90,Vestido Estampa Azul,90,Forever 21,272238.0,Nuevo Con Etiqueta,Vestido,Daniel Siqueira,2019,1
102,67445,56505,3,320,960,BR-RS,192.0,Rio Grande do Sul,2,2019-01-27,960,Blusa Verde Manga,320,Shoulder,295249.0,Usado,Blusa,Daniel Siqueira,2019,1
103,39814,56522,1,390,390,BR-RJ,78.0,Rio de Janeiro,5,2019-01-27,390,Blusinha Seda Off,390,Cori,218863.0,Usado,Blusinha,Paulo Calanca,2019,1
104,48872,57546,1,120,120,BR-SE,24.0,Sergipe,5,2019-01-27,120,Choker Pedra Branca,120,Fabiana Caterina,274593.0,Nuevo Con Etiqueta,Choker,Paulo Calanca,2019,1
105,7940,58949,5,1200,6000,BR-DF,1200.0,Distrito Federal,5,2019-01-28,6000,Saia Roxa Estampada,1200,Miu Miu,930078.0,Usado,Saia,Paulo Calanca,2019,1
106,17329,59083,4,590,2360,BR-RO,472.0,Rondônia,2,2019-01-28,2360,Blusa Renda Pb,590,Isolda,525179.0,Usado,Blusa,Daniel Siqueira,2019,1
107,21516,59833,5,320,1600,BR-BA,320.0,Bahia,5,2019-01-28,1600,Bolsa Vermelha Brilhos,320,Kipling,296103.0,Usado,Bolsa,Paulo Calanca,2019,1
108,84176,60843,3,310,930,BR-GO,186.0,Goiás,4,2019-01-29,930,Camisa Xadrez Verde,310,Joe Fresh,322482.0,Usado,Camisa,Millena Pereira,2019,1
109,70673,60947,2,210,420,BR-SP,84.0,São Paulo,3,2019-01-29,420,Shorts Listras Bordados,210,American Eagle,126190.0,Usado,Shorts,Nadia Oliveira,2019,1
110,84176,61492,4,310,1240,BR-MG,248.0,Minas Gerais,1,2019-01-29,1240,Camisa Xadrez Verde,310,Joe Fresh,322482.0,Usado,Camisa,Ana Duarte,2019,1
111,13814,61672,6,550,3300,BR-DF,660.0,Distrito Federal,5,2019-01-29,3300,Vestido Nude Reta,550,Ellus,318626.0,Nuevo Sin Etiqueta,Vestido,Paulo Calanca,2019,1
112,10795,61962,5,300,1500,BR-MT,300.0,Mato Grosso,2,2019-01-29,1500,Blusinha Guipir Black,300,Banana Republic,224603.0,Usado,Blusinha,Daniel Siqueira,2019,1
113,100484,62835,5,320,1600,BR-PR,320.0,Paraná,4,2019-01-29,1600,Calca Jeans Pantacourt,320,Sacada,279886.0,Usado,Calca,Millena Pereira,2019,1
114,72621,63127,1,179,179,BR-SC,35.8,Santa Catarina,2,2019-01-29,179,Capa Fio Marrom,179,Zara,304783.0,Usado,Capa,Daniel Siqueira,2019,1
115,9397,65152,6,345,2070,BR-MT,414.0,Mato Grosso,2,2019-01-29,2070,Vestido Estampa Geometrica,345,Daslu,944025.0,Usado,Vestido,Daniel Siqueira,2019,1
116,31835,65613,1,399,399,BR-SE,79.8,Sergipe,5,2019-01-29,399,Camisa Seda Pb,399,Mixed,258114.0,Usado,Camisa,Paulo Calanca,2019,1
117,91248,65616,5,45,225,BR-BA,45.0,Bahia,2,2019-01-29,225,Vestido Estampa Laco,45,H&M,255446.0,Usado,Vestido,Daniel Siqueira,2019,1
118,83792,66697,1,390,390,BR-RR,78.0,Roraima,1,2019-01-30,390,Calca Costuras Bege,390,Agilità,313737.0,Usado,Calca,Ana Duarte,2019,1
119,71946,69499,3,290,870,BR-AM,174.0,Amazonas,2,2019-01-30,870,Shorts Destroyed Laranja,290,Le Lis Blanc,194102.0,Usado,Shorts,Daniel Siqueira,2019,1
120,89334,71163,4,350,1400,BR-PA,280.0,Pará,1,2019-01-30,1400,Pantacourt Amarracao Verde,350,Ateliê De Calças,220768.0,Nuevo Con Etiqueta,Pantacourt,Ana Duarte,2019,1
121,53138,72042,6,690,4140,BR-DF,828.0,Distrito Federal,4,2019-01-30,4140,Calca Jeans Trancada,690,Saad,224580.0,Nuevo Con Etiqueta,Calca,Millena Pereira,2019,1
122,33349,72918,1,270,270,BR-SP,54.0,São Paulo,5,2019-01-30,270,Vestido Listras Malha,270,Calvin Klein,307118.0,Usado,Vestido,Paulo Calanca,2019,1
123,32986,73039,3,315,945,BR-RN,189.0,Rio Grande do Norte,2,2019-01-30,945,Blusa Babados Off-White,315,Animale,142695.0,Usado,Blusa,Daniel Siqueira,2019,1
124,24159,73364,1,270,270,BR-AM,54.0,Amazonas,2,2019-01-30,270,Regata Listras Azul,270,Osklen,304941.0,Usado,Regata,Daniel Siqueira,2019,1
125,66539,73934,6,399,2394,BR-SP,478.8,São Paulo,3,2019-01-30,2394,Shorts Bordado Branco,399,Shoulder,211444.0,Nuevo Con Etiqueta,Shorts,Nadia Oliveira,2019,1
126,35129,75193,5,320,1600,BR-MS,320.0,Mato Grosso do Sul,2,2019-01-30,1600,Sapato Animal Spike,320,My Shoes,119135.0,Usado,Sapato,Daniel Siqueira,2019,1
127,84743,75489,1,120,120,BR-SE,24.0,Sergipe,4,2019-01-30,120,Blusa Listrada Malha,120,Track & Field,287524.0,Usado,Blusa,Millena Pereira,2019,1
128,79551,75926,3,290,870,BR-AM,174.0,Amazonas,1,2019-01-30,870,Shorts Jeans Destroyed,290,Sacada,213739.0,Usado,Shorts,Ana Duarte,2019,1
129,37794,76642,2,105,210,BR-AM,42.0,Amazonas,3,2019-01-30,210,Blusa Coracao Pedrarias,105,Zara,304416.0,Usado,Blusa,Nadia Oliveira,2019,1
130,56380,76691,2,179,358,BR-TO,71.6,Tocantins,4,2019-01-30,358,Calca Moletom Listras,179,Zara,218866.0,Usado,Calca,Millena Pereira,2019,1
131,93262,76832,2,450,900,BR-MA,180.0,Maranhão,3,2019-01-31,900,Sandalia Prata Pedraria,450,Thay Ribas,233379.0,Usado,Sandalia,Nadia Oliveira,2019,1
132,4835,77086,5,560,2800,BR-SC,560.0,Santa Catarina,3,2019-01-31,2800,Blazer Cinza E Azul Marinho,560,Levi'S,105695.0,Usado,Blazer,Nadia Oliveira,2019,1
133,21516,77813,3,320,960,BR-BA,192.0,Bahia,1,2019-01-31,960,Bolsa Vermelha Brilhos,320,Kipling,296103.0,Usado,Bolsa,Ana Duarte,2019,1
134,77079,78517,4,100,400,BR-PR,80.0,Paraná,3,2019-01-31,400,Saia Evase Cinza,100,Zara,260523.0,Usado,Saia,Nadia Oliveira,2019,1
135,6769,79493,3,220,660,BR-RJ,132.0,Rio de Janeiro,2,2019-01-31,660,Blazer Nude Botao,220,Zara,161490.0,Usado,Blazer,Daniel Siqueira,2019,1
136,40082,80293,6,315,1890,BR-SP,378.0,São Paulo,3,2019-01-31,1890,Vestido Malha Vitral,315,Forum,324684.0,Usado,Vestido,Nadia Oliveira,2019,1
137,70240,80667,6,290,1740,BR-PA,348.0,Pará,1,2019-01-31,1740,Blusa Tricot Lilas,290,Ralph Lauren,322504.0,Usado,Blusa,Ana Duarte,2019,1
138,15875,80712,3,490,1470,BR-RR,294.0,Roraima,1,2019-01-31,1470,Vestido Recortes Cores,490,Alix Shop,257917.0,Usado,Vestido,Ana Duarte,2019,1
139,3451,80745,3,250,750,BR-PR,150.0,Paraná,5,2019-01-31,750,Vestido Ombro So,250,Lemon Cola,295317.0,Usado,Vestido,Paulo Calanca,2019,1
140,100983,81263,3,350,1050,BR-AM,210.0,Amazonas,2,2019-01-31,1050,Blusa Croche Branca,350,Galeria Tricot,222915.0,Usado,Blusa,Daniel Siqueira,2019,1
141,18790,81673,4,890,3560,BR-PE,712.0,Pernambuco,2,2019-01-31,3560,Vestido Recortes Cores,890,Bcbgmaxzria,264965.0,Usado,Vestido,Daniel Siqueira,2019,1
142,57708,83975,4,990,3960,BR-MS,792.0,Mato Grosso do Sul,1,2019-02-01,3960,Sapatilha Python Bege,990,Tory Burch,278531.0,Usado,Sapatilha,Ana Duarte,2019,2
143,12609,84694,2,320,640,BR-SE,128.0,Sergipe,3,2019-02-01,640,Calca Jeans Lavagem,320,Armani Exchange,278260.0,Usado,Calca,Nadia Oliveira,2019,2
144,18212,86244,2,120,240,BR-DF,48.0,Distrito Federal,3,2019-02-01,240,Blusa Laranja Golinha,120,Zara,322472.0,Usado,Blusa,Nadia Oliveira,2019,2
145,3829,87084,1,2630,2630,BR-PE,526.0,Pernambuco,4,2019-02-01,2630,Sneaker Monograma Bege,2630,Louis Vuitton,256175.0,Usado,Sneaker,Millena Pereira,2019,2
146,43888,87357,3,190,570,BR-MA,114.0,Maranhão,5,2019-02-01,570,Regata Renda Branca,190,Farm,257576.0,Usado,Regata,Paulo Calanca,2019,2
147,27659,88044,2,140,280,BR-ES,56.0,Espírito Santo,5,2019-02-01,280,Blusa Tricolor,140,Zara,278232.0,Usado,Blusa,Paulo Calanca,2019,2
148,43699,88341,3,169,507,BR-AC,101.4,Acre,4,2019-02-01,507,Shorts Estampa Cinto,169,Shoulder,247357.0,Usado,Shorts,Millena Pereira,2019,2
